2023-08-01,Project Manager,Business / Analyst / Product,CÔNG TY TNHH GIẢI PHÁP ECR VIỆT NAM,tới 40 triệu,,40000000.0,VND
2023-08-01,Devops Engineer,Developer / Engineer,Công ty Cổ phần Công nghệ KiotViet,20 - 30 triệu,20000000.0,30000000.0,VND
2023-08-01,Nhân Viên Web Designer (Html/Css + Wordpress),Designer / Creative,CÔNG TY TNHH VIETRY,thoả thuận,,,
2023-08-01,Marketing Communication,Other,CÔNG TY TNHH MESONEER,thoả thuận,,,
2023-08-01,Chuyên Viên Cao Cấp BI,Other,CÔNG TY TÀI CHÍNH TNHH MỘT THÀNH VIÊN BƯU ĐIỆN,thoả thuận,,,
2023-08-01,IT Business Analyst,Business / Analyst / Product,CÔNG TY TRÁCH NHIỆM HỮU HẠN CADENA VIỆT NAM,thoả thuận,,,
2023-08-01,Quản Lý Dự Án (Lĩnh Vực Công Nghệ Thông Tin),Developer / Engineer,Công ty cổ phần BDA.SC,trên 12 triệu,12000000.0,,VND
2023-08-01,Product Owner,Business / Analyst / Product,CÔNG TY CỔ PHẦN EMDDI,thoả thuận,,,
2023-08-01,Vuejs Developer - Không Yêu Cầu Tiếng Anh - Từ 2 Năm Kinh Nghiệm - Mức Lương Lên Tới 30 Triệu,Developer / Engineer,CÔNG TY CỔ PHẦN LOTUS TECHNOLOGY SERVICES,tới 30 triệu,,30000000.0,VND
2023-08-01,.Net Full-Stack Developer,Developer / Engineer,CÔNG TY TNHH AMARIS VIỆT NAM,thoả thuận,,,
2023-08-01,Tech Lead Làm Việc Tại Nghệ An ( Thu Nhập Upto 25M),Other,Công Ty Cổ Phần Công Nghệ ECRM,18 - 25 triệu,18000000.0,25000000.0,VND
2023-08-01,IT Business Analyst - HCM,Business / Analyst / Product,CÔNG TY TNHH AMARIS VIỆT NAM,thoả thuận,,,
2023-08-01,Scrum Master (Ecommerce Platform),Other,Công ty Cổ phần Thời Trang Yody,20 - 30 triệu,20000000.0,30000000.0,VND
2023-08-01,Business Analyst (Ba),Business / Analyst / Product,VUIHOC.vn,thoả thuận,,,
2023-08-01,Nhân Viên Data Admin (Thu Nhập Từ 7 - 8M),Developer / Engineer,CHI NHÁNH CÔNG TY CỔ PHẦN BÁNH KẸO Á CHÂU,7 - 8 triệu,7000000.0,8000000.0,VND
2023-08-01,Tester,Tester / QA,VUIHOC.vn,"tới 1,000 usd",,1000.0,USD
2023-08-01,Kỹ Thuật Viên Tại Trung Tâm Bảo Hành,IT Operations / DevOps / Support,CÔNG TY CỔ PHẦN THƯƠNG MẠI - DỊCH VỤ PHONG VŨ,7 - 8 triệu,7000000.0,8000000.0,VND
